artifact,schema,expected_market_count,actual_market_count,expected_market_year_count,actual_market_year_count,missing_market_count,missing_markets,missing_market_year_count,missing_market_year_sample,extra_market_year_count,extra_market_year_sample,duplicate_market_year_count,duplicate_market_year_sample,notes
data/dbn/ohlcv_1m,ohlcv-1m,33,33,527,532,0,,0,,5,TN:2010;TN:2011;TN:2012;ZL:2010;ZM:2010,1,6M:2026,expected starts from Phase 1A PRODUCT_AVAILABLE_START/default 2010-06-06
data/dbn/ohlcv_1s,ohlcv-1s,33,33,527,532,0,,0,,5,TN:2010;TN:2011;TN:2012;ZL:2010;ZM:2010,1,6M:2026,expected starts from Phase 1A PRODUCT_AVAILABLE_START/default 2010-06-06
data/dbn/ohlcv_1h,ohlcv-1h,33,33,527,527,0,,0,,0,,1,6M:2026,expected starts from Phase 1A PRODUCT_AVAILABLE_START/default 2010-06-06
data/dbn/ohlcv_1d,ohlcv-1d,33,33,527,527,0,,0,,0,,1,6M:2026,expected starts from Phase 1A PRODUCT_AVAILABLE_START/default 2010-06-06
data/dbn/statistics,statistics,33,33,527,532,0,,0,,5,TN:2010;TN:2011;TN:2012;ZL:2010;ZM:2010,3,6M:2026;RTY:2017;SR3:2018,expected starts from Phase 1A PRODUCT_AVAILABLE_START/default 2010-06-06
data/dbn/status,status,33,33,527,462,0,,68,6A:2014;6B:2014;6C:2010;6C:2011;6C:2014;6E:2012;6E:2013;6E:2014;6J:2010;6J:2014;6M:2013;6M:2014;ES:2014;GC:2010;GC:2014;HE:2013;HG:2011;HG:2014;HO:2010;HO:2011;HO:2012;HO:2013;KE:2013;KE:2014;LE:2010;LE:2011;LE:2012;LE:2013;NQ:2012;NQ:2014,3,TN:2010;TN:2011;TN:2012,3,6M:2026;RTY:2017;SR3:2018,expected starts from Phase 1A PRODUCT_AVAILABLE_START/default 2010-06-06
data/dbn/definition,definition,33,33,527,532,0,,0,,5,TN:2010;TN:2011;TN:2012;ZL:2010;ZM:2010,1,6M:2026,expected starts from Phase 1A PRODUCT_AVAILABLE_START/default 2010-06-06
data/dbn/trades,trades,33,33,66,66,0,,0,,0,,1,6M:2026,trades expected only for 2025-2026
data/raw/<market>/<year>.parquet,phase1b_raw_parquet,33,33,527,517,0,,10,KE:2025;KE:2026;SR1:2025;SR1:2026;TN:2025;TN:2026;ZL:2025;ZL:2026;ZM:2025;ZM:2026,0,,0,,top-level market/year parquet only; nested parquet under this root excluded from canonical coverage: 725 files
data/causally_gated_normalized/<market>/<year>.parquet,phase2_causal_base_parquet,33,28,527,461,5,SR1;TN;ZL;ZM;KE,66,KE:2013;KE:2014;KE:2015;KE:2016;KE:2017;KE:2018;KE:2019;KE:2020;KE:2021;KE:2022;KE:2023;KE:2024;KE:2025;KE:2026;SR1:2018;SR1:2019;SR1:2020;SR1:2021;SR1:2022;SR1:2023;SR1:2024;SR1:2025;SR1:2026;TN:2016;TN:2017;TN:2018;TN:2019;TN:2020;TN:2021;TN:2022;TN:2023;TN:2024;TN:2025;TN:2026;ZL:2011;ZL:2012;ZL:2013;ZL:2014;ZL:2015;ZL:2016,0,,0,,top-level market/year parquet only; nested parquet under this root excluded from canonical coverage: 22 files
