artifact,schema,pair,issue_type,policy_status,cleanup_allowed,evidence
data/dbn/ohlcv_1m,ohlcv-1m,TN:2010,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/ohlcv_1m,ohlcv-1m,TN:2011,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/ohlcv_1m,ohlcv-1m,TN:2012,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/ohlcv_1m,ohlcv-1m,ZL:2010,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/ohlcv_1m,ohlcv-1m,ZM:2010,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/ohlcv_1m,ohlcv-1m,6M:2026,duplicate_pair,known_duplicate_policy_deferred,false,data/dbn/ohlcv_1m/6M/2026/2026-01-01_2026-06-13.dbn.zst;data/dbn/ohlcv_1m/6M/2026/2026-06-12_2026-06-13.dbn.zst
data/dbn/ohlcv_1s,ohlcv-1s,TN:2010,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/ohlcv_1s,ohlcv-1s,TN:2011,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/ohlcv_1s,ohlcv-1s,TN:2012,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/ohlcv_1s,ohlcv-1s,ZL:2010,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/ohlcv_1s,ohlcv-1s,ZM:2010,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/ohlcv_1s,ohlcv-1s,6M:2026,duplicate_pair,known_duplicate_policy_deferred,false,data/dbn/ohlcv_1s/6M/2026/2026-01-01_2026-06-13.dbn.zst;data/dbn/ohlcv_1s/6M/2026/2026-06-12_2026-06-13.dbn.zst
data/dbn/ohlcv_1h,ohlcv-1h,6M:2026,duplicate_pair,known_duplicate_policy_deferred,false,data/dbn/ohlcv_1h/6M/2026/2026-01-01_2026-06-13.dbn.zst;data/dbn/ohlcv_1h/6M/2026/2026-06-12_2026-06-13.dbn.zst
data/dbn/ohlcv_1d,ohlcv-1d,6M:2026,duplicate_pair,known_duplicate_policy_deferred,false,data/dbn/ohlcv_1d/6M/2026/2026-01-01_2026-06-13.dbn.zst;data/dbn/ohlcv_1d/6M/2026/2026-06-12_2026-06-13.dbn.zst
data/dbn/statistics,statistics,TN:2010,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/statistics,statistics,TN:2011,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/statistics,statistics,TN:2012,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/statistics,statistics,ZL:2010,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/statistics,statistics,ZM:2010,extra_pair,allowed_extra,false,present in filename inventory but outside manifest expected range
data/dbn/statistics,statistics,6M:2026,duplicate_pair,known_duplicate_policy_deferred,false,data/dbn/statistics/6M/2026/2026-01-01_2026-06-13.dbn.zst;data/dbn/statistics/6M/2026/2026-06-12_2026-06-13.dbn.zst
data/dbn/statistics,statistics,RTY:2017,duplicate_pair,known_duplicate_policy_deferred,false,data/dbn/statistics/RTY/2017/2017-01-01_2018-01-01.dbn.zst;data/dbn/statistics/RTY/2017/2017-06-05_2018-01-01.dbn.zst
data/dbn/statistics,statistics,SR3:2018,duplicate_pair,known_duplicate_policy_deferred,false,data/dbn/statistics/SR3/2018/2018-01-01_2019-01-01.dbn.zst;data/dbn/statistics/SR3/2018/2018-04-23_2019-01-01.dbn.zst
data/dbn/status,status,6A:2014,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,6B:2014,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,6C:2010,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,6C:2011,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,6C:2014,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,6E:2012,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,6E:2013,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,6E:2014,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,6J:2010,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,6J:2014,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,6M:2013,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,6M:2014,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,ES:2014,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,GC:2010,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,GC:2014,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
data/dbn/status,status,HE:2013,missing_pair,expected_missing,false,expected by manifest but absent from filename inventory
