market,year,pair,health_class,primary_blocker,next_action,raw_parquet_present,causal_parquet_present,ohlcv_1m_dbn_present,definition_dbn_present,statistics_dbn_present,status_dbn_present,ohlcv_1m_dbn_count,definition_dbn_count,statistics_dbn_count,status_dbn_count,raw_audit_status,raw_rows,raw_failure_summary,source_reference_count,missing_source_file_count,source_hash_mismatch_count,status_archive_present,status_missing_rows,status_stale_rows,statistics_archive_present,statistics_missing_rows,statistics_stale_rows,phase2_readiness_path,phase2_readiness_status,phase2_blocker_count,phase2_failure_count,phase2_top_blocker,phase2_status_missing_rows,phase2_status_stale_rows,phase2_statistics_missing_rows,phase2_statistics_stale_rows,phase2_roll_backsteps,phase2_synthetic_rows_pct,phase2_output_rows,latest_phase2_decision,decision_conflict,manifest_issue_summary,evidence_paths
ES,2010,ES:2010,POLICY_REVIEW_REQUIRED,raw status enrichment missing/stale rows; raw statistics enrichment missing/stale rows,Use existing exception/build records only after confirming this row is in the accepted set; stop before cleanup.,True,True,True,True,True,True,1,1,1,1,PASS,201975,,8,0,0,1,201867,201867,1,488,488,,,0,0,,0,0,0,0,0,0.0,0,,False,,reports/raw_readiness/raw_enriched_optional_schema_audit.json
ES,2011,ES:2011,POLICY_REVIEW_REQUIRED,raw status enrichment missing/stale rows; raw statistics enrichment missing/stale rows,Use existing exception/build records only after confirming this row is in the accepted set; stop before cleanup.,True,True,True,True,True,True,1,1,1,1,PASS,351411,,9,0,0,1,274637,274637,1,423,423,,,0,0,,0,0,0,0,0,0.0,0,,False,,reports/raw_readiness/raw_enriched_optional_schema_audit.json
ES,2012,ES:2012,POLICY_REVIEW_REQUIRED,raw status enrichment missing/stale rows; raw statistics enrichment missing/stale rows,Use existing exception/build records only after confirming this row is in the accepted set; stop before cleanup.,True,True,True,True,True,True,1,1,1,1,PASS,348218,,9,0,0,1,341091,341091,1,98,98,,,0,0,,0,0,0,0,0,0.0,0,,False,,reports/raw_readiness/raw_enriched_optional_schema_audit.json
ES,2013,ES:2013,POLICY_REVIEW_REQUIRED,raw status enrichment missing/stale rows; raw statistics enrichment missing/stale rows,Use existing exception/build records only after confirming this row is in the accepted set; stop before cleanup.,True,True,True,True,True,True,1,1,1,1,PASS,341259,,9,0,0,1,333805,333805,1,507,507,,,0,0,,0,0,0,0,0,0.0,0,,False,,reports/raw_readiness/raw_enriched_optional_schema_audit.json
ES,2014,ES:2014,POLICY_REVIEW_REQUIRED,canonical status DBN absent or optional; raw status enrichment missing/stale rows; raw statistics enrichment missing/stale rows,Use existing exception/build records only after confirming this row is in the accepted set; stop before cleanup.,True,True,True,True,True,False,1,1,1,0,PASS,335340,,8,0,0,0,335340,335340,1,772,772,,,0,0,,0,0,0,0,0,0.0,0,,False,data/dbn/status:missing_pair:expected_missing,reports/raw_readiness/raw_enriched_optional_schema_audit.json; reports/data_manifest/manifest_coverage_check.csv
ES,2015,ES:2015,POLICY_REVIEW_REQUIRED,raw status enrichment missing/stale rows; raw statistics enrichment missing/stale rows,Use existing exception/build records only after confirming this row is in the accepted set; stop before cleanup.,True,True,True,True,True,True,1,1,1,1,PASS,350165,,9,0,0,1,311508,311508,1,499,499,,,0,0,,0,0,0,0,0,0.0,0,,False,,reports/raw_readiness/raw_enriched_optional_schema_audit.json
ES,2016,ES:2016,POLICY_REVIEW_REQUIRED,raw statistics enrichment missing/stale rows,Use existing exception/build records only after confirming this row is in the accepted set; stop before cleanup.,True,True,True,True,True,True,1,1,1,1,PASS,349036,,9,0,0,1,0,0,1,297,297,,,0,0,,0,0,0,0,0,0.0,0,,False,,reports/raw_readiness/raw_enriched_optional_schema_audit.json
ES,2017,ES:2017,POLICY_REVIEW_REQUIRED,raw statistics enrichment missing/stale rows,Use existing exception/build records only after confirming this row is in the accepted set; stop before cleanup.,True,True,True,True,True,True,1,1,1,1,PASS,344785,,9,0,0,1,0,0,1,1173,1173,,,0,0,,0,0,0,0,0,0.0,0,,False,,reports/raw_readiness/raw_enriched_optional_schema_audit.json
ES,2018,ES:2018,POLICY_REVIEW_REQUIRED,raw statistics enrichment missing/stale rows,Use existing exception/build records only after confirming this row is in the accepted set; stop before cleanup.,True,True,True,True,True,True,1,1,1,1,PASS,348989,,9,0,0,1,0,0,1,513,513,,,0,0,,0,0,0,0,0,0.0,0,,False,,reports/raw_readiness/raw_enriched_optional_schema_audit.json
ES,2019,ES:2019,POLICY_REVIEW_REQUIRED,raw statistics enrichment missing/stale rows,Use existing exception/build records only after confirming this row is in the accepted set; stop before cleanup.,True,True,True,True,True,True,1,1,1,1,PASS,349532,,9,0,0,1,0,0,1,155,155,,,0,0,,0,0,0,0,0,0.0,0,,False,,reports/raw_readiness/raw_enriched_optional_schema_audit.json
